sample_id,defect,modality,is_clean,failure,present,localized,repair_ok,evidence_element,raw
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,True,False,True,False,True,shp3,"{""present"": true, ""evidence_element"": ""shp3"", ""evidence_region"": ""bottom-right"", ""fix"": ""Adjust the position of 'shp3' to align with the baseline of 'shp4'"", ""confidence"": 0.8}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,False,False,True,True,True,shp3,"{
  ""present"": true,
  ""evidence_element"": ""shp3"",
  ""evidence_region"": ""bottom"",
  ""fix"": ""Adjust the vertical alignment of 'Open publication' to align with the baseline of '2'."",
  ""confidence"": 0.8
}"
65b9f618e026be90484c974a204ae812-04_Ivanovic_Mla__s4__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,B,False,False,True,True,True,shp3,"{""present"": true, ""evidence_element"": ""shp3"", ""evidence_region"": ""bottom-right"", ""fix"": ""Adjust the bounding box to ensure the text fits within the slide boundaries."", ""confidence"": 0.9}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s5__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,True,False,True,False,True,shp3,"{
  ""present"": true,
  ""evidence_element"": ""shp3"",
  ""evidence_region"": ""bottom"",
  ""fix"": ""Adjust the vertical alignment of 'Open publication' to align with the baseline of '2'."",
  ""confidence"": 0.8
}"
65b9f618e026be90484c974a204ae812-04_Ivanovic_Mla__s4__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,A,False,False,True,False,True,Lignasan BLP (carbendazim phosphate),"{
  ""present"": true,
  ""evidence_element"": ""Lignasan BLP (carbendazim phosphate)"",
  ""evidence_region"": ""center"",
  ""fix"": ""Adjust the font size or slide layout to fit the text within the slide boundaries."",
  ""confidence"": 0.9
}"
65b9f618e026be90484c974a204ae812-04_Ivanovic_Mla__s4__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,B,True,False,True,False,True,shp3,"{""present"": true, ""evidence_element"": ""shp3"", ""evidence_region"": ""bottom-right"", ""fix"": ""Adjust the bounding box to ensure the text fits within the slide boundaries."", ""confidence"": 0.9}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s18__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,A,False,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 0.0
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s18__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,A,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 0.0
}"
65b9f618e026be90484c974a204ae812-04_Ivanovic_Mla__s4__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,C,False,False,True,True,True,shp3,"{
  ""present"": true,
  ""evidence_element"": ""shp3"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the text box size or reformat the text to fit within the box."",
  ""confidence"": 0.9
}"
65b9f618e026be90484c974a204ae812-04_Ivanovic_Mla__s4__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,C,True,False,True,False,True,shp3,"{
  ""present"": true,
  ""evidence_element"": ""shp3"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the bounding box to include the overflowed text or shorten the text."",
  ""confidence"": 0.9
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s18__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,B,False,False,True,True,True,shp185,"{""present"": true, ""evidence_element"": ""shp185"", ""evidence_region"": ""body"", ""fix"": ""Change font size to 9.0pt"", ""confidence"": 0.9}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s18__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,B,True,False,True,False,True,shp185,"{""present"": true, ""evidence_element"": ""shp185"", ""evidence_region"": ""body"", ""fix"": ""Change font size to match the font size of shp187"", ""confidence"": 0.8}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,A,False,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 0.0
}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,A,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 0.0
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s18__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,C,False,False,True,True,True,shp185,"{
  ""present"": true,
  ""evidence_element"": ""shp185"",
  ""evidence_region"": ""center"",
  ""fix"": ""Change the font size of the text in 'shp185' to match the font size of the text in 'shp187'"",
  ""confidence"": 0.9
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s18__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,C,True,False,True,False,True,shp185,"{
  ""present"": true,
  ""evidence_element"": ""shp185"",
  ""evidence_region"": ""center"",
  ""fix"": ""Change the font size of the text in 'shp185' to match the font size of 'shp187'"",
  ""confidence"": 0.9
}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,C,False,False,True,True,True,shp226,"{
  ""present"": true,
  ""evidence_element"": ""shp226"",
  ""evidence_region"": ""left"",
  ""fix"": ""Adjust the text alignment or reduce the font size to fit within the slide margin."",
  ""confidence"": 0.9
}"
f84df5643d99a205e6b6508baea351a5-GONNET_Research__s23__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,C,True,False,True,False,True,shp226,"{
  ""present"": true,
  ""evidence_element"": ""shp226"",
  ""evidence_region"": ""top-right"",
  ""fix"": ""Adjust the text position to ensure it is within the slide's safe margin."",
  ""confidence"": 0.9
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s21__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,A,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 1.0
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s21__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,B,False,False,True,True,True,shp211,"{""present"": true, ""evidence_element"": ""shp211"", ""evidence_region"": ""bottom-right"", ""fix"": ""Adjust the font size or reposition the text to fit within the box"", ""confidence"": 0.9}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s21__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,B,True,False,True,False,True,shp210,"{""present"": true, ""evidence_element"": ""shp210"", ""evidence_region"": ""bottom-right"", ""fix"": ""Adjust the text box size or reposition the text to fit within the box."", ""confidence"": 0.9}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s21__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,A,False,False,True,False,True,Földrikthet text,"{
  ""present"": true,
  ""evidence_element"": ""Földrikthet text"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the text box size or reposition the text to fit within the container."",
  ""confidence"": 0.9
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s21__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,C,False,False,True,True,True,shp211,"{
  ""present"": true,
  ""evidence_element"": ""shp211"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the font size or reposition the text to fit within the box."",
  ""confidence"": 0.9
}"
d7f4b97aef5b99bf6c1a76435deeb1e7-2023-08-31_Atel__s12__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s21__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,C,True,False,True,False,True,shp212,"{
  ""present"": true,
  ""evidence_element"": ""shp212"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the text box size or reformat the text to fit within the box."",
  ""confidence"": 0.9
}"
d7f4b97aef5b99bf6c1a76435deeb1e7-2023-08-31_Atel__s12__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,A,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 1.0
}"
d7f4b97aef5b99bf6c1a76435deeb1e7-2023-08-31_Atel__s12__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,A,False,False,True,False,True,Attribution d'une licence,"{
  ""present"": true,
  ""evidence_element"": ""Attribution d'une licence"",
  ""evidence_region"": ""center"",
  ""fix"": ""Adjust the position of 'Attribution d'une licence' to ensure it does not overlap with other elements."",
  ""confidence"": 0.9
}"
d7f4b97aef5b99bf6c1a76435deeb1e7-2023-08-31_Atel__s12__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,C,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 1.0
}"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
d7f4b97aef5b99bf6c1a76435deeb1e7-2023-08-31_Atel__s12__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,B,True,False,True,False,True,shp3,"{""present"": true, ""evidence_element"": ""shp3"", ""evidence_region"": ""bottom-right"", ""fix"": ""Adjust the position of shp3 to ensure it does not overlap with other elements."", ""confidence"": 0.9}"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
d7f4b97aef5b99bf6c1a76435deeb1e7-2023-08-31_Atel__s12__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,C,False,False,True,True,True,shp5,"{
  ""present"": true,
  ""evidence_element"": ""shp5"",
  ""evidence_region"": ""center"",
  ""fix"": ""Move the date and initials to a position where it does not overlap with other text."",
  ""confidence"": 0.9
}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s5__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,False,False,True,False,True,Alg: CCORLib1b [ccor02_L1b.py],"{
  ""present"": true,
  ""evidence_element"": ""Alg: CCORLib1b [ccor02_L1b.py]"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the position of the element to align it with the corresponding elements in the column."",
  ""confidence"": 0.9
}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s5__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,True,False,True,False,True,Alg: CCORL1a [ccor00_L1a.py],"{
  ""present"": true,
  ""evidence_element"": ""Alg: CCORL1a [ccor00_L1a.py]"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the position of the element to align it with the baseline of its peers."",
  ""confidence"": 0.9
}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s5__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,A,False,False,True,True,True,Droits moraux,"{""present"": true, ""evidence_element"": ""Droits moraux"", ""evidence_region"": ""center"", ""fix"": ""Adjust the font size to match the rest of the text on the slide"", ""confidence"": 0.8}"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,True,False,True,False,True,shp222,"{
  ""present"": true,
  ""evidence_element"": ""shp222"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the position of the text box to align with the left edge."",
  ""confidence"": 0.8
}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s5__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,A,True,False,True,False,True,Droits moraux,"{""present"": true, ""evidence_element"": ""Droits moraux"", ""evidence_region"": ""center"", ""fix"": ""Adjust the font size to match the rest of the text on the slide"", ""confidence"": 0.8}"
5aed46f009ac84854c5c1cebd08f867d-DASH_Presentati__s7__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,C,False,False,True,False,True,Alg: CCORLib1a [ccor00_11a.py],"{
  ""present"": true,
  ""evidence_element"": ""Alg: CCORLib1a [ccor00_11a.py]"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the position of the element to align it with the corresponding elements in the column."",
  ""confidence"": 0.8
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s22__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,A,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s5__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,C,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 1.0
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s22__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,A,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 1.0
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s22__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s22__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s5__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,C,False,False,True,True,False,Droits moraux,"{
  ""present"": true,
  ""evidence_element"": ""Droits moraux"",
  ""evidence_region"": ""center"",
  ""fix"": ""Ensure consistent font size across all text blocks."",
  ""confidence"": 0.9
}"
eaecf2fcda285772d0c4e86d9af3fd83-Peer_review_sur__s2__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
eaecf2fcda285772d0c4e86d9af3fd83-Peer_review_sur__s2__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s22__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,C,False,False,True,False,True,shp221,"{
  ""present"": true,
  ""evidence_element"": ""shp221"",
  ""evidence_region"": ""top-right"",
  ""fix"": ""Move the image to the right to ensure it is fully within the slide boundaries."",
  ""confidence"": 0.95
}"
377829fc53e13493464f3580b855dd76-Laatua_ja_vaiku__s22__G6_MARGIN_VIOLATION,G6_MARGIN_VIOLATION,C,True,False,True,False,True,shp221,"{
  ""present"": true,
  ""evidence_element"": ""shp221"",
  ""evidence_region"": ""top-right"",
  ""fix"": ""Move the image to the center or adjust the slide size to accommodate the image within the safe margin."",
  ""confidence"": 0.95
}"
eaecf2fcda285772d0c4e86d9af3fd83-Peer_review_sur__s2__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,A,True,False,True,False,True,text in the reference section,"{
  ""present"": true,
  ""evidence_element"": ""text in the reference section"",
  ""evidence_region"": ""bottom"",
  ""fix"": ""increase the font size or adjust the layout to fit the text within the slide"",
  ""confidence"": 0.9
}"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s7__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,A,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 0.0}"
eaecf2fcda285772d0c4e86d9af3fd83-Peer_review_sur__s2__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,A,False,False,True,True,True,"Ross-Hellauer T, Deppe A, Schmidt B (2017) Surv","{
  ""present"": true,
  ""evidence_element"": ""Ross-Hellauer T, Deppe A, Schmidt B (2017) Surv"",
  ""evidence_region"": ""bottom"",
  ""fix"": ""Extend the text box or adjust the slide layout to accommodate the full text."",
  ""confidence"": 0.95
}"
eaecf2fcda285772d0c4e86d9af3fd83-Peer_review_sur__s2__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,C,False,False,True,True,True,shp9,"```json
{
  ""present"": true,
  ""evidence_element"": ""shp9"",
  ""evidence_region"": ""bottom-right"",
  ""fix"": ""Adjust the text box size or reposition the text to fit within the slide boundaries."",
  ""confidence"": 0.95
}
```"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s7__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,A,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
eaecf2fcda285772d0c4e86d9af3fd83-Peer_review_sur__s2__G1_TEXT_OVERFLOW,G1_TEXT_OVERFLOW,C,True,False,True,False,True,shp9,"```json
{
  ""present"": true,
  ""evidence_element"": ""shp9"",
  ""evidence_region"": ""bottom"",
  ""fix"": ""Adjust the font size or shorten the text to fit within the box."",
  ""confidence"": 0.9
}
```"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s7__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s7__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,B,False,False,True,False,True,shp112,"{""present"": true, ""evidence_element"": ""shp112"", ""evidence_region"": ""center"", ""fix"": ""Adjust the position of the text box to ensure it does not overlap with the image."", ""confidence"": 0.9}"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s7__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,C,False,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 1.0
}"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s7__G2_ELEMENT_OVERLAP,G2_ELEMENT_OVERLAP,C,True,False,False,False,False,,"{
  ""present"": false,
  ""evidence_element"": """",
  ""evidence_region"": """",
  ""fix"": """",
  ""confidence"": 1.0
}"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s8__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,B,False,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s8__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,B,True,False,False,False,False,,"{""present"": false, ""evidence_element"": """", ""evidence_region"": """", ""fix"": """", ""confidence"": 1.0}"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s8__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,A,False,False,True,False,True,ROADMAP,"{""present"": true, ""evidence_element"": ""ROADMAP"", ""evidence_region"": ""center"", ""fix"": ""Adjust the font size of 'ROADMAP' to match the other text blocks"", ""confidence"": 0.8}"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s8__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,A,True,False,True,False,True,ROADMAP,"{""present"": true, ""evidence_element"": ""ROADMAP"", ""evidence_region"": ""center"", ""fix"": ""Adjust the font size of 'ROADMAP' to match the other text blocks."", ""confidence"": 0.9}"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s8__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,C,False,False,True,True,True,http://openhardware.science/global-open-science-hardware-roadmap/,"```json
{
  ""present"": true,
  ""evidence_element"": ""http://openhardware.science/global-open-science-hardware-roadmap/"",
  ""evidence_region"": ""bottom"",
  ""fix"": ""Adjust the font size to match the main text."",
  ""confidence"": 0.9
}
```"
9b237c3961be6d09d55ef0f1580b9ec8-GOSH_Keynote_-___s8__G4_FONT_SIZE_INCONSISTENCY,G4_FONT_SIZE_INCONSISTENCY,C,True,False,True,False,True,shp121,"```json
{
  ""present"": true,
  ""evidence_element"": ""shp121"",
  ""evidence_region"": ""bottom"",
  ""fix"": ""Change the font size of the text to match the rest of the slide."",
  ""confidence"": 0.9
}
```"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s28__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,False,False,True,False,True,shp3,"{""present"": true, ""evidence_element"": ""shp3"", ""evidence_region"": ""bottom"", ""fix"": ""Adjust the position of shp3 to align with the baseline of other text elements."", ""confidence"": 0.8}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s28__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,B,True,False,True,False,True,shp3,"{""present"": true, ""evidence_element"": ""shp3"", ""evidence_region"": ""bottom"", ""fix"": ""Adjust the position of shp3 to align with the baseline of other text elements."", ""confidence"": 0.8}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s28__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,False,False,True,False,True,Ajouter le DOI pour récupérer les métadonnées du dépôt,"{
  ""present"": true,
  ""evidence_element"": ""Ajouter le DOI pour récupérer les métadonnées du dépôt"",
  ""evidence_region"": ""center"",
  ""fix"": ""Adjust the checkbox alignment to match the other checkboxes."",
  ""confidence"": 0.9
}"
5aa2630262e54a49db5680970f332b05-2024-05-Etapes___s28__G3_ALIGNMENT_OFFSET,G3_ALIGNMENT_OFFSET,A,True,False,True,False,True,checkbox for 'Ajouter le DOI pour récupérer les métadonnées du dépôt',"{
  ""present"": true,
  ""evidence_element"": ""checkbox for 'Ajouter le DOI pour récupérer les métadonnées du dépôt'"",
  ""evidence_region"": ""center"",
  ""fix"": ""Align the checkbox with the other checkboxes."",
  ""confidence"": 0.9
}"
